Product,Image,brand,Title,ActivePrice,OriginalPrice 
https://www.sotostore.com/en/product/17695/air-monarch-iv, https://www.sotostore.com/images/39797/medium.jpg, Nike, Air Monarch IV, 199 EUR, 199 EUR 
https://www.sotostore.com/en/product/17693/air-monarch-iv, https://www.sotostore.com/images/39793/medium.jpg, Nike, Air Monarch IV, 199 EUR, 199 EUR 
https://www.sotostore.com/en/product/17698/wmns-air-jordan-4-retro-nrg, https://www.sotostore.com/images/39803/medium.jpg, Jordan, Wmns Air Jordan 4 Retro NRG, 189 EUR, 189 EUR 
https://www.sotostore.com/en/product/17699/air-force-1-07-lv8-3, https://www.sotostore.com/images/39820/medium.jpg, Nike, Air Force 1 ´07 LV8 3, 119 EUR, 119 EUR 
https://www.sotostore.com/en/product/17700/air-force-1-07-lv8-3, https://www.sotostore.com/images/39811/medium.jpg, Nike, Air Force 1 ´07 LV8 3, 119 EUR, 119 EUR 
https://www.sotostore.com/en/product/17593/air-force-1-07-lv8-3, https://www.sotostore.com/images/39608/medium.jpg, Nike, Air Force 1 ´07 LV8 3, 109 EUR, 109 EUR 
https://www.sotostore.com/en/product/4473/yung-1, https://www.sotostore.com/images/39788/medium.jpg, Adidas Originals, Yung-1, 129 EUR, 129 EUR 
https://www.sotostore.com/en/product/17597/air-max2-light, https://www.sotostore.com/images/39742/medium.jpg, Nike, Air Max2 Light, 139 EUR, 139 EUR 
https://www.sotostore.com/en/product/17594/air-max-95-og, https://www.sotostore.com/images/39773/medium.jpg, Nike, Air Max 95 OG, 169.90 EUR, 169.90 EUR 
https://www.sotostore.com/en/product/17592/air-vapormax-plus, https://www.sotostore.com/images/39765/medium.jpg, Nike, Air Vapormax Plus, 209.90 EUR, 209.90 EUR 
https://www.sotostore.com/en/product/17658/zoom-2k, https://www.sotostore.com/images/39755/medium.jpg, Nike, Zoom 2K, 99.90 EUR, 99.90 EUR 
https://www.sotostore.com/en/product/17547/air-max-1, https://www.sotostore.com/images/39271/medium.jpg, Nike, Air Max 1, 149 EUR, 149 EUR 
https://www.sotostore.com/en/product/17546/wmns-blazer-mid-rebel, https://www.sotostore.com/images/39263/medium.jpg, Nike, Wmns Blazer Mid Rebel, 109.90 EUR, 109.90 EUR 
https://www.sotostore.com/en/product/17600/air-max-270-bowfin, https://www.sotostore.com/images/39638/medium.jpg, Nike, Air Max 270 Bowfin, 159.90 EUR, 159.90 EUR 
https://www.sotostore.com/en/product/17599/wmns-classic-cortez-leather, https://www.sotostore.com/images/39627/medium.jpg, Nike, Wmns Classic Cortez Leather, 89.90 EUR, 89.90 EUR 
https://www.sotostore.com/en/product/17598/benassi-jdi, https://www.sotostore.com/images/39618/medium.jpg, Nike, Benassi JDI, 25.90 EUR, 25.90 EUR 
https://www.sotostore.com/en/product/17596/wmns-air-force-1-07, https://www.sotostore.com/images/39612/medium.jpg, Nike, Wmns Air Force 1 ´07, 99.90 EUR, 99.90 EUR 
https://www.sotostore.com/en/product/17434/y-3-adilette, https://www.sotostore.com/images/39426/medium.jpg, Y-3, Y-3 Adilette, 120 EUR, 120 EUR 
https://www.sotostore.com/en/product/17492/y-3-zx-run, https://www.sotostore.com/images/39438/medium.jpg, Y-3, Y-3 ZX Run, 250 EUR, 250 EUR 
https://www.sotostore.com/en/product/15969/rockaway-leather-sneaker, https://www.sotostore.com/images/30803/medium.jpg, Acne Studios, Rockaway Leather Sneaker, 419.90 EUR, 419.90 EUR 
https://www.sotostore.com/en/product/16730/rockaway-tumbled, https://www.sotostore.com/images/34550/medium.jpg, Acne Studios, Rockaway Tumbled, 420 EUR, 420 EUR 
https://www.sotostore.com/en/product/15748/air-max-95-og, https://www.sotostore.com/images/29212/medium.jpg, Nike, Air Max 95 OG, 104.40 EUR, 174 EUR 
https://www.sotostore.com/en/product/14532/air-force-1-07, https://www.sotostore.com/images/24713/medium.jpg, Nike, Air Force 1 ´07, 99.90 EUR, 99.90 EUR 
https://www.sotostore.com/en/product/14533/air-force-1-07, https://www.sotostore.com/images/24698/medium.jpg, Nike, Air Force 1 ´07, 99.90 EUR, 99.90 EUR 
